,Week,Genre,Play Share,Total Plays
196,2005-10-16,Pop,0.0036900369003690036,271
197,2005-10-16,Indie,0.01107011070110701,271
198,2005-10-16,folk,0.02214022140221402,271
199,2005-10-16,Metal,0.01845018450184502,271
200,2005-10-16,Electronic,0.0036900369003690036,271
201,2005-10-23,Rock,0.37267080745341613,161
202,2005-10-23,other,0.22981366459627328,161
203,2005-10-23,Metal,0.14285714285714285,161
204,2005-10-23,Electronic,0.037267080745341616,161
205,2005-10-23,Jazz,0.15527950310559005,161
206,2005-10-23,Hip Hop,0.018633540372670808,161
207,2005-10-23,Indie,0.006211180124223602,161
208,2005-10-23,folk,0.031055900621118012,161
209,2005-10-23,Pop,0.006211180124223602,161
210,2005-10-30,Rock,0.31277533039647576,227
211,2005-10-30,Jazz,0.14537444933920704,227
212,2005-10-30,other,0.4008810572687225,227
213,2005-10-30,folk,0.10572687224669604,227
214,2005-10-30,Electronic,0.022026431718061675,227
215,2005-10-30,Metal,0.004405286343612335,227
216,2005-10-30,Indie,0.004405286343612335,227
217,2005-10-30,Hip Hop,0.004405286343612335,227
218,2005-11-06,Rock,0.4870848708487085,271
219,2005-11-06,Jazz,0.1992619926199262,271
220,2005-11-06,other,0.13653136531365315,271
221,2005-11-06,Indie,0.05166051660516605,271
222,2005-11-06,folk,0.033210332103321034,271
223,2005-11-06,Hip Hop,0.02214022140221402,271
224,2005-11-06,Metal,0.025830258302583026,271
225,2005-11-06,Electronic,0.02952029520295203,271
226,2005-11-06,Pop,0.014760147601476014,271
227,2005-11-13,Rock,0.5408163265306123,98
228,2005-11-13,Electronic,0.08163265306122448,98
229,2005-11-13,Jazz,0.16326530612244897,98
230,2005-11-13,Hip Hop,0.030612244897959183,98
231,2005-11-13,Metal,0.02040816326530612,98
232,2005-11-13,other,0.08163265306122448,98
233,2005-11-13,folk,0.030612244897959183,98
234,2005-11-13,Classical,0.01020408163265306,98
235,2005-11-13,Pop,0.01020408163265306,98
236,2005-11-13,Indie,0.030612244897959183,98
237,2005-11-20,Rock,0.47634069400630913,317
238,2005-11-20,Jazz,0.167192429022082,317
239,2005-11-20,other,0.17981072555205047,317
240,2005-11-20,Electronic,0.04416403785488959,317
241,2005-11-20,Hip Hop,0.01892744479495268,317
242,2005-11-20,Metal,0.03785488958990536,317
243,2005-11-20,folk,0.04100946372239748,317
244,2005-11-20,Pop,0.025236593059936908,317
245,2005-11-20,Classical,0.006309148264984227,317
246,2005-11-20,Indie,0.0031545741324921135,317
247,2005-11-27,folk,0.0625,96
248,2005-11-27,Rock,0.3229166666666667,96
249,2005-11-27,other,0.23958333333333334,96
250,2005-11-27,Electronic,0.09375,96
251,2005-11-27,Pop,0.0625,96
252,2005-11-27,Indie,0.041666666666666664,96
253,2005-11-27,Hip Hop,0.020833333333333332,96
254,2005-11-27,Jazz,0.14583333333333334,96
255,2005-11-27,Metal,0.010416666666666666,96
256,2005-12-04,other,0.33766233766233766,154
257,2005-12-04,Rock,0.3961038961038961,154
258,2005-12-04,Jazz,0.11038961038961038,154
259,2005-12-04,folk,0.03896103896103896,154
260,2005-12-04,Metal,0.025974025974025976,154
261,2005-12-04,Electronic,0.03896103896103896,154
262,2005-12-04,Hip Hop,0.01948051948051948,154
263,2005-12-04,Indie,0.012987012987012988,154
264,2005-12-04,Pop,0.012987012987012988,154
265,2005-12-04,Classical,0.006493506493506494,154
266,2005-12-11,Rock,0.3113207547169811,106
267,2005-12-11,Indie,0.05660377358490566,106
268,2005-12-11,Jazz,0.4811320754716981,106
269,2005-12-11,other,0.11320754716981132,106
270,2005-12-11,Electronic,0.018867924528301886,106
271,2005-12-11,Metal,0.009433962264150943,106
272,2005-12-11,folk,0.009433962264150943,106
273,2005-12-18,Jazz,0.46153846153846156,13
274,2005-12-18,other,0.38461538461538464,13
275,2005-12-18,folk,0.07692307692307693,13
276,2005-12-18,Rock,0.07692307692307693,13
277,2005-12-25,Rock,0.6274509803921569,51
278,2005-12-25,other,0.19607843137254902,51
279,2005-12-25,Jazz,0.09803921568627451,51
280,2005-12-25,Metal,0.0196078431372549,51
281,2005-12-25,Pop,0.0392156862745098,51
282,2005-12-25,Indie,0.0196078431372549,51
283,2006-01-01,other,0.1744186046511628,86
284,2006-01-01,Jazz,0.18604651162790697,86
285,2006-01-01,folk,0.10465116279069768,86
286,2006-01-01,Rock,0.4418604651162791,86
287,2006-01-01,Electronic,0.023255813953488372,86
288,2006-01-01,Metal,0.03488372093023256,86
289,2006-01-01,Hip Hop,0.03488372093023256,86
290,2006-01-08,Jazz,0.46875,96
291,2006-01-08,other,0.28125,96
292,2006-01-08,Rock,0.20833333333333334,96
293,2006-01-08,folk,0.010416666666666666,96
294,2006-01-08,Metal,0.010416666666666666,96
295,2006-01-08,Classical,0.010416666666666666,96
296,2006-01-08,Electronic,0.010416666666666666,96
297,2006-01-15,Rock,0.3853211009174312,218
298,2006-01-15,Hip Hop,0.03669724770642202,218
299,2006-01-15,other,0.22477064220183487,218
300,2006-01-15,Metal,0.06422018348623854,218
301,2006-01-15,Jazz,0.10091743119266056,218
302,2006-01-15,Electronic,0.12385321100917432,218
303,2006-01-15,Pop,0.022935779816513763,218
304,2006-01-15,folk,0.027522935779816515,218
305,2006-01-15,Indie,0.009174311926605505,218
306,2006-01-15,Classical,0.0045871559633027525,218
307,2006-01-22,Metal,0.3103448275862069,29
308,2006-01-22,other,0.10344827586206896,29
